"s(u), created by Plot Digitizer, 2.6.8"
"Date: 1/12/18, 4:11:49 PM"


28
u,s
-0.00603318,0.144801,
0.223228,0.0641124,
0.395173,0.0365667,
0.509804,0.0291252,
0.660634,0.0226928,
0.862745,0.0194512,
1.14027,0.0177460,
1.61991,0.0159544,
1.91554,0.0146630,
2.20513,0.0130382,
2.50980,0.0111758,
2.81448,0.00937075,
3.20060,0.00685960,
3.48115,0.00532506,
3.74359,0.00399950,
4.09351,0.00272053,
4.50075,0.00178387,
4.79336,0.00140528,
5.13424,0.00119573,
5.52640,0.00114842,
6.02413,0.00118264,
6.51282,0.00127739,
7.08899,0.00133981,
8.01810,0.00139500,
8.66667,0.00147937,
9.12821,0.00156309,
9.71946,0.00170701,
9.99397,0.00175143,
