"s(u), created by Plot Digitizer, 2.6.8"
"Date: 1/11/18, 3:34:32 PM"


14
u,s
0.000856164,0.0276664,
0.153253,0.0141597,
0.298373,0.00755037,
0.418236,0.00465807,
0.517551,0.00332482,
0.590753,0.00269612,
0.672945,0.00226747,
0.745291,0.00202334,
0.839897,0.00184290,
0.935788,0.00174484,
1.09461,0.00166332,
1.43664,0.00155698,
1.66182,0.00146409,
1.99529,0.00129756,
