"s(u), created by Plot Digitizer, 2.6.8"
"Date: 1/11/18, 3:21:10 PM"


15
u,s
0.00147239,0.0226637,
0.155485,0.0114293,
0.300941,0.00598610,
0.429849,0.00324510,
0.586708,0.00155427,
0.768106,0.000726650,
0.866800,0.000508050,
0.963792,0.000383108,
1.05166,0.000313741,
1.17949,0.000260437,
1.33529,0.000227590,
1.51108,0.000210106,
1.70286,0.000205615,
1.88094,0.000210427,
1.99796,0.000221424,
