"s(u), created by Plot Digitizer, 2.6.8"
"Date: 1/12/18, 4:05:22 PM"


34
u,s
-0.00628015,0.00761974,
0.271187,0.00331318,
0.503417,0.00159064,
0.750727,0.000725419,
0.961839,0.000423024,
1.11565,0.000305180,
1.24532,0.000255904,
1.37499,0.000231771,
1.53783,0.000220169,
1.74590,0.000234342,
1.96301,0.000272388,
2.14393,0.000309715,
2.39722,0.000374824,
2.64449,0.000437279,
2.94905,0.000486382,
3.17521,0.000510151,
3.40438,0.000517702,
3.61245,0.000510168,
3.91099,0.000482860,
4.27587,0.000424682,
4.59552,0.000368070,
4.93327,0.000304148,
5.25594,0.000253177,
5.64193,0.000203904,
6.15156,0.000160058,
6.54961,0.000142331,
6.78482,0.000137206,
7.07130,0.000135210,
7.55076,0.000141301,
7.82818,0.000152063,
8.35287,0.000178056,
9.02833,0.000234468,
9.70680,0.000299822,
9.98121,0.000329838,
