1_0,2_0,2_1,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,E
1.0267034e-14,2.5730754e-13,1.7260344e-12,3.782217e-12,2.2796235e-11,1.7353993e-11,4.2689065e-11,2.0216339e-10,3.3056241e-09,1.667631e-10,2.1903433e-07,3.8142729
1.0273093e-14,2.5743887e-13,1.7389325e-12,3.7826193e-12,2.2896483e-11,1.8264821e-11,4.2666199e-11,2.0168867e-10,3.439927e-09,1.5634128e-10,2.0793556e-07,3.9883398
1.0279161e-14,2.5756704e-13,1.7517384e-12,3.7828755e-12,2.2992316e-11,1.923276e-11,4.2640769e-11,2.0119245e-10,3.5905747e-09,1.4625711e-10,1.9700173e-07,4.1703504
1.0285217e-14,2.5769128e-13,1.7644005e-12,3.7829762e-12,2.3083698e-11,2.0258628e-11,4.2612594e-11,2.0067372e-10,3.7600455e-09,1.3654393e-10,1.8626126e-07,4.3606672
1.0291238e-14,2.5781075e-13,1.776863e-12,3.7829131e-12,2.3170748e-11,2.1342649e-11,4.2581486e-11,2.0013146e-10,3.9512183e-09,1.2723001e-10,1.757396e-07,4.5596692
1.0297201e-14,2.5792451e-13,1.7890654e-12,3.7826799e-12,2.325378e-11,2.2484759e-11,4.2547257e-11,1.9956455e-10,4.1674217e-09,1.1834334e-10,1.6545802e-07,4.7677528
1.0303079e-14,2.5803161e-13,1.8009429e-12,3.7822719e-12,2.3332998e-11,2.3711475e-11,4.2509719e-11,1.9897185e-10,4.4125022e-09,1.0992113e-10,1.5543557e-07,4.9853324
1.0308841e-14,2.5813097e-13,1.8124262e-12,3.7816878e-12,2.3408228e-11,2.5100222e-11,4.2468688e-11,1.9835216e-10,4.6909039e-09,1.019976e-10,1.456958e-07,5.2128414
1.0314457e-14,2.582215e-13,1.8234417e-12,3.7809294e-12,2.3479339e-11,2.6752843e-11,4.2423987e-11,1.9770429e-10,5.0077591e-09,9.4599957e-11,1.362587e-07,5.4507329
1.0319891e-14,2.5830203e-13,1.8339119e-12,3.7800034e-12,2.354631e-11,2.8796759e-11,4.237545e-11,1.9702746e-10,5.3692281e-09,8.7746501e-11,1.271396e-07,5.6994808
